CourseProgramID,CourseID,ProgramID,IsCore,IsCoreRecommended,IsElective,IsTL,IsCoachingCourse,IsSupplementalElective,SHRPreferredOrder,OCPreferredOrder,IsSHR,IsOC,Notes
1,1,1,1,0,0,0,0,0,1,1,0,0,
2,2,1,1,0,0,0,0,0,1,1,0,0,
3,3,1,1,0,0,0,0,0,1,1,0,0,
4,4,1,1,0,0,0,0,0,1,1,0,0,
5,5,1,1,0,0,0,0,0,1,1,0,0,
6,6,1,1,0,0,0,0,0,1,1,0,0,
7,7,1,1,0,0,0,0,0,1,1,0,0,
8,8,1,1,0,0,0,0,0,1,1,0,0,
9,8,2,1,0,0,0,0,0,1,1,0,0,2 sections
10,9,1,1,0,0,0,0,0,1,1,0,0,
11,10,1,1,0,0,0,0,0,1,1,0,0,
12,11,1,1,0,0,1,0,0,1,1,0,0,
13,11,2,0,0,0,1,0,0,1,1,0,0,2 sections
14,12,1,0,0,0,1,0,0,1,1,0,0,
15,12,2,0,0,0,1,0,0,1,1,0,0,
16,13,1,0,0,0,1,0,0,1,1,0,0,
17,13,2,0,0,0,1,0,0,1,1,0,0,2 sections
18,14,1,0,0,0,1,0,0,1,1,0,0,
19,14,2,1,0,0,1,0,0,1,1,0,0,2 sections
20,15,1,0,0,1,0,0,0,1,1,0,0,
21,16,1,0,0,1,0,0,0,1,1,1,0,
22,16,2,0,0,0,0,0,1,1,1,1,0,
23,17,1,0,0,1,0,0,0,1,1,1,0,
24,17,2,1,0,0,0,0,0,1,1,1,0,2 sections
25,18,1,0,0,1,0,0,0,1,1,0,0,
26,18,2,1,0,0,0,0,0,1,1,0,0,Preferred early in plan. 2 sections
27,19,1,0,0,1,0,0,0,1,1,0,0,
28,19,2,0,0,0,0,0,1,1,1,0,0,
29,20,1,0,0,1,0,0,0,1,1,0,0,
30,21,1,0,0,1,0,0,0,1,1,0,0,
31,21,2,0,0,0,0,0,1,1,1,0,0,
32,22,1,0,0,1,0,0,0,1,1,0,0,
33,22,2,0,0,0,0,0,1,1,1,0,0,
34,23,2,0,0,0,0,0,0,1,1,1,0,
35,24,2,0,0,0,0,0,0,1,1,0,1,
36,25,2,0,0,0,0,0,0,1,3,0,1,
37,26,2,0,0,0,0,0,0,2,1,1,0,
38,27,2,0,0,0,0,0,0,1,2,0,1,
39,28,2,0,0,0,0,0,0,1,4,0,1,
40,29,2,0,0,0,0,1,0,1,1,0,0,
41,30,2,0,0,0,0,1,0,1,1,0,0,
42,31,2,0,0,0,0,1,0,1,1,0,0,
43,32,2,0,0,0,0,1,0,1,1,0,0,
44,33,2,0,1,0,0,0,1,1,1,0,0,"2 sections.Recommended Supplemental Elective. If room in degreeplan, this should be included."
45,34,2,0,0,0,0,1,0,1,1,0,0,
46,35,2,0,0,0,0,1,0,1,1,0,0,
47,36,2,0,1,0,0,0,1,1,1,0,0,2 sections. Recommended Elective
