FacultyID,FacultyName,ProgramID
1,"John Barden",NULL
2,"Gil Sadka",NULL
3,"Lauren Minch",NULL
4,"Steve Jacob",NULL
5,"Kannan Ramanathan",NULL
6,"Mike Rhoades",NULL
7,"Gary Reichmuth or James Munch",NULL
8,"Anne Ferrante (CW1) Ginny Bianco-Mathis (CW2)",NULL
9,"Dohyeong Kim",NULL
10,"Anna Ladipo",NULL
11,"Anne Ferrante (CW1) Suzette Bryan (CW2)",NULL
12,"Maria Hasenhuttl",NULL
13,"Suzette Bryan",NULL
14,"Amber Narro (Summer, Fall CW2) Suzette Bryan (Fall CW1)",NULL
15,"Habte Woldu",NULL
16,"Dale ALbercht",NULL
17,"Van Latham (CW1) Larry Norton (CW2)",NULL
18,"Ginny Bianco-Mathis",NULL
19,"James Honeycutt",NULL
20,"Kim Rutigliano",NULL
21,"Larry Norton",NULL
22,"Van Latham",NULL
23,"Amber Narro",NULL
24,"Anne Ferrante/Ginny Bianco-Mathis",NULL
25,"Robert Hicks",NULL
26,"Lizette Warner",NULL
27,"Meg Rentschler",NULL
28,"Neeru Sharma",NULL
29,"Lizette Warner/Meg Rentschler",NULL
